Series_Title,IMDB_Rating,Released_Year,Overview,Genre,Actors
The Best Years of Our Lives,8.0,1946,Three World War II veterans return home to small-town America to discover that they and their families have been irreparably changed.,"Drama, Romance, War",Myrna Loy Dana Andrews Fredric March Teresa Wright
Arsenic and Old Lace,8.0,1942,A writer of books on the futility of marriage risks his reputation when he decides to get married. Things get even more complicated when he learns on his wedding day that his beloved maiden aunts are habitual murderers.,"Comedy, Crime, Thriller",Cary Grant Priscilla Lane Raymond Massey Jack Carson
The Maltese Falcon,8.0,1941,"A private detective takes on a case that involves him with three eccentric criminals, a gorgeous liar, and their quest for a priceless statuette.","Film-Noir, Mystery",Humphrey Bogart Mary Astor Gladys George Peter Lorre
The Grapes of Wrath,8.0,1940,"A poor Midwest family is forced off their land. They travel to California, suffering the misfortunes of the homeless in the Great Depression.","Drama, History",Henry Fonda Jane Darwell John Carradine Charley Grapewin
The Wizard of Oz,8.0,1939,Dorothy Gale is swept away from a farm in Kansas to a magical land of Oz in a tornado and embarks on a quest with her new friends to see the Wizard who can help her return home to Kansas and help her friends as well.,"Adventure, Family, Fantasy",George Cukor Mervyn LeRoy Norman Taurog Richard Thorpe
La règle du jeu,8.0,1939,"A bourgeois life in France at the onset of World War II, as the rich and their poor servants meet up at a French chateau.","Comedy, Drama",Marcel Dalio Nora Gregor Paulette Dubost Mila Parély
The Thin Man,8.0,1934,"Former detective Nick Charles and his wealthy wife Nora investigate a murder case, mostly for the fun of it.","Comedy, Crime, Mystery",William Powell Myrna Loy Maureen O'Sullivan Nat Pendleton
All Quiet on the Western Front,8.0,1930,"A German youth eagerly enters World War I, but his enthusiasm wanes as he gets a firsthand view of the horror.","Drama, War",Lew Ayres Louis Wolheim John Wray Arnold Lucy
Bronenosets Potemkin,8.0,1925,"In the midst of the Russian Revolution of 1905, the crew of the battleship Potemkin mutiny against the brutal, tyrannical regime of the vessel's officers. The resulting street demonstration in Odessa brings on a police massacre.","Drama, History, Thriller",Aleksandr Antonov Vladimir Barskiy Grigoriy Aleksandrov Ivan Bobrov
Knives Out,7.9,2019,"A detective investigates the death of a patriarch of an eccentric, combative family.","Comedy, Crime, Drama",Daniel Craig Chris Evans Ana de Armas Jamie Lee Curtis
Dil Bechara,7.9,2020,"The emotional journey of two hopelessly in love youngsters, a young girl, Kizie, suffering from cancer, and a boy, Manny, whom she meets at a support group.","Comedy, Drama, Romance",Sushant Singh Rajput Sanjana Sanghi Sahil Vaid Saswata Chatterjee
Manbiki kazoku,7.9,2018,A family of small-time crooks take in a child they find outside in the cold.,"Crime, Drama",Lily Franky Sakura Andô Kirin Kiki Mayu Matsuoka
Marriage Story,7.9,2019,Noah Baumbach's incisive and compassionate look at a marriage breaking up and a family staying together.,"Comedy, Drama, Romance",Adam Driver Scarlett Johansson Julia Greer Azhy Robertson
Call Me by Your Name,7.9,2017,"In 1980s Italy, romance blossoms between a seventeen-year-old student and the older man hired as his father's research assistant.","Drama, Romance",Armie Hammer Timothée Chalamet Michael Stuhlbarg Amira Casar
"I, Daniel Blake",7.9,2016,"After having suffered a heart-attack, a 59-year-old carpenter must fight the bureaucratic forces of the system in order to receive Employment and Support Allowance.",Drama,Laura Obiols Dave Johns Hayley Squires Sharon Percy
Isle of Dogs,7.9,2018,"Set in Japan, Isle of Dogs follows a boy's odyssey in search of his lost dog.","Animation, Adventure, Comedy",Bryan Cranston Koyu Rankin Edward Norton Bob Balaban
Hunt for the Wilderpeople,7.9,2016,A national manhunt is ordered for a rebellious kid and his foster uncle who go missing in the wild New Zealand bush.,"Adventure, Comedy, Drama",Sam Neill Julian Dennison Rima Te Wiata Rachel House
Captain Fantastic,7.9,2016,"In the forests of the Pacific Northwest, a father devoted to raising his six kids with a rigorous physical and intellectual education is forced to leave his paradise and enter the world, challenging his idea of what it means to be a parent.","Comedy, Drama",Viggo Mortensen George MacKay Samantha Isler Annalise Basso
Sing Street,7.9,2016,A boy growing up in Dublin during the 1980s escapes his strained family life by starting a band to impress the mysterious girl he likes.,"Comedy, Drama, Music",Ferdia Walsh-Peelo Aidan Gillen Maria Doyle Kennedy Jack Reynor
Thor: Ragnarok,7.9,2017,"Imprisoned on the planet Sakaar, Thor must race against time to return to Asgard and stop Ragnarök, the destruction of his world, at the hands of the powerful and ruthless villain Hela.","Action, Adventure, Comedy",Chris Hemsworth Tom Hiddleston Cate Blanchett Mark Ruffalo
Nightcrawler,7.9,2014,"When Louis Bloom, a con man desperate for work, muscles into the world of L.A. crime journalism, he blurs the line between observer and participant to become the star of his own story.","Crime, Drama, Thriller",Jake Gyllenhaal Rene Russo Bill Paxton Riz Ahmed
Jojo Rabbit,7.9,2019,A young boy in Hitler's army finds out his mother is hiding a Jewish girl in their home.,"Comedy, Drama, War",Roman Griffin Davis Thomasin McKenzie Scarlett Johansson Taika Waititi
Arrival,7.9,2016,A linguist works with the military to communicate with alien lifeforms after twelve mysterious spacecrafts appear around the world.,"Drama, Sci-Fi",Amy Adams Jeremy Renner Forest Whitaker Michael Stuhlbarg
Star Wars: Episode VII - The Force Awakens,7.9,2015,"As a new threat to the galaxy rises, Rey, a desert scavenger, and Finn, an ex-stormtrooper, must join Han Solo and Chewbacca to search for the one hope of restoring peace.","Action, Adventure, Sci-Fi",Daisy Ridley John Boyega Oscar Isaac Domhnall Gleeson
Before Midnight,7.9,2013,We meet Jesse and Celine nine years on in Greece. Almost two decades have passed since their first meeting on that train bound for Vienna.,"Drama, Romance",Ethan Hawke Julie Delpy Seamus Davey-Fitzpatrick Ariane Labed
X-Men: Days of Future Past,7.9,2014,The X-Men send Wolverine to the past in a desperate effort to change history and prevent an event that results in doom for both humans and mutants.,"Action, Adventure, Sci-Fi",Patrick Stewart Ian McKellen Hugh Jackman James McAvoy
Bir Zamanlar Anadolu'da,7.9,2011,A group of men set out in search of a dead body in the Anatolian steppes.,"Crime, Drama",Muhammet Uzuner Yilmaz Erdogan Taner Birsel Ahmet Mümtaz Taylan
The Artist,7.9,2011,An egomaniacal film star develops a relationship with a young dancer against the backdrop of Hollywood's silent era.,"Comedy, Drama, Romance",Jean Dujardin Bérénice Bejo John Goodman James Cromwell
Edge of Tomorrow,7.9,2014,"A soldier fighting aliens gets to relive the same day over and over again, the day restarting every time he dies.","Action, Adventure, Sci-Fi",Tom Cruise Emily Blunt Bill Paxton Brendan Gleeson
Amour,7.9,2012,"Georges and Anne are an octogenarian couple. They are cultivated, retired music teachers. Their daughter, also a musician, lives in Britain with her family. One day, Anne has a stroke, and the couple's bond of love is severely tested.","Drama, Romance",Jean-Louis Trintignant Emmanuelle Riva Isabelle Huppert Alexandre Tharaud
The Irishman,7.9,2019,"An old man recalls his time painting houses for his friend, Jimmy Hoffa, through the 1950-70s.","Biography, Crime, Drama",Robert De Niro Al Pacino Joe Pesci Harvey Keitel
Un prophète,7.9,2009,A young Arab man is sent to a French prison.,"Crime, Drama",Tahar Rahim Niels Arestrup Adel Bencherif Reda Kateb
Moon,7.9,2009,"Astronaut Sam Bell has a quintessentially personal encounter toward the end of his three-year stint on the Moon, where he, working alongside his computer, GERTY, sends back to Earth parcels of a resource that has helped diminish our planet's power problems.","Drama, Mystery, Sci-Fi",Sam Rockwell Kevin Spacey Dominique McElligott Rosie Shaw
Låt den rätte komma in,7.9,2008,"Oskar, an overlooked and bullied boy, finds love and revenge through Eli, a beautiful but peculiar girl.","Crime, Drama, Fantasy",Kåre Hedebrant Lina Leandersson Per Ragnar Henrik Dahl
District 9,7.9,2009,Violence ensues after an extraterrestrial race forced to live in slum-like conditions on Earth finds a kindred spirit in a government agent exposed to their biotechnology.,"Action, Sci-Fi, Thriller",Sharlto Copley David James Jason Cope Nathalie Boltt
The Wrestler,7.9,2008,"A faded professional wrestler must retire, but finds his quest for a new life outside the ring a dispiriting struggle.","Drama, Sport",Mickey Rourke Marisa Tomei Evan Rachel Wood Mark Margolis
Jab We Met,7.9,2007,A depressed wealthy businessman finds his life changing after he meets a spunky and care-free young woman.,"Comedy, Drama, Romance",Shahid Kapoor Kareena Kapoor Tarun Arora Dara Singh
Boyhood,7.9,2014,"The life of Mason, from early childhood to his arrival at college.",Drama,Ellar Coltrane Patricia Arquette Ethan Hawke Elijah Smith
"4 luni, 3 saptamâni si 2 zile",7.9,2007,A woman assists her friend in arranging an illegal abortion in 1980s Romania.,Drama,Anamaria Marinca Laura Vasiliu Vlad Ivanov Alexandru Potocean
Star Trek,7.9,2009,The brash James T. Kirk tries to live up to his father's legacy with Mr. Spock keeping him in check as a vengeful Romulan from the future creates black holes to destroy the Federation one planet at a time.,"Action, Adventure, Sci-Fi",Chris Pine Zachary Quinto Simon Pegg Leonard Nimoy
In Bruges,7.9,2008,"Guilt-stricken after a job gone wrong, hitman Ray and his partner await orders from their ruthless boss in Bruges, Belgium, the last place in the world Ray wants to be.","Comedy, Crime, Drama",Colin Farrell Brendan Gleeson Ciarán Hinds Elizabeth Berrington
The Man from Earth,7.9,2007,An impromptu goodbye party for Professor John Oldman becomes a mysterious interrogation after the retiring scholar reveals to his colleagues he has a longer and stranger past than they can imagine.,"Drama, Fantasy, Mystery",David Lee Smith Tony Todd John Billingsley Ellen Crawford
Letters from Iwo Jima,7.9,2006,"The story of the battle of Iwo Jima between the United States and Imperial Japan during World War II, as told from the perspective of the Japanese who fought it.","Action, Adventure, Drama",Ken Watanabe Kazunari Ninomiya Tsuyoshi Ihara Ryô Kase
The Fall,7.9,2006,"In a hospital on the outskirts of 1920s Los Angeles, an injured stuntman begins to tell a fellow patient, a little girl with a broken arm, a fantastic story of five mythical heroes. Thanks to his fractured state of mind and her vivid imagination, the line between fiction and reality blurs as the tale advances.","Adventure, Drama, Fantasy",Lee Pace Catinca Untaru Justine Waddell Kim Uylenbroek
Life of Pi,7.9,2012,"A young man who survives a disaster at sea is hurtled into an epic journey of adventure and discovery. While cast away, he forms an unexpected connection with another survivor: a fearsome Bengal tiger.","Adventure, Drama, Fantasy",Suraj Sharma Irrfan Khan Adil Hussain Tabu
Fantastic Mr. Fox,7.9,2009,An urbane fox cannot resist returning to his farm raiding ways and then must help his community survive the farmers' retaliation.,"Animation, Adventure, Comedy",George Clooney Meryl Streep Bill Murray Jason Schwartzman
C.R.A.Z.Y.,7.9,2005,"A young French-Canadian, growing up in the 1960s and 1970s, struggles to reconcile his emerging homosexuality with his father's conservative values and his own Catholic beliefs.","Comedy, Drama",Michel Côté Marc-André Grondin Danielle Proulx Émile Vallée
Les choristes,7.9,2004,The new teacher at a severely administered boys' boarding school works to positively affect the students' lives through music.,"Drama, Music",Gérard Jugnot François Berléand Jean-Baptiste Maunier Kad Merad
Iron Man,7.9,2008,"After being held captive in an Afghan cave, billionaire engineer Tony Stark creates a unique weaponized suit of armor to fight evil.","Action, Adventure, Sci-Fi",Robert Downey Jr. Gwyneth Paltrow Terrence Howard Jeff Bridges
Shaun of the Dead,7.9,2004,A man's uneventful life is disrupted by the zombie apocalypse.,"Comedy, Horror",Simon Pegg Nick Frost Kate Ashfield Lucy Davis
Gegen die Wand,7.9,2004,"With the intention to break free from the strict familial restrictions, a suicidal young woman sets up a marriage of convenience with a forty-year-old addict, an act that will lead to an outburst of envious love.","Drama, Romance",Birol Ünel Sibel Kekilli Güven Kiraç Zarah Jane McKenzie
Mystic River,7.9,2003,The lives of three men who were childhood friends are shattered when one of them has a family tragedy.,"Crime, Drama, Mystery",Sean Penn Tim Robbins Kevin Bacon Emmy Rossum
Harry Potter and the Prisoner of Azkaban,7.9,2004,"Harry Potter, Ron and Hermione return to Hogwarts School of Witchcraft and Wizardry for their third year of study, where they delve into the mystery surrounding an escaped prisoner who poses a dangerous threat to the young wizard.","Adventure, Family, Fantasy",Daniel Radcliffe Emma Watson Rupert Grint Richard Griffiths
Ying xiong,7.9,2002,"A defense officer, Nameless, was summoned by the King of Qin regarding his success of terminating three warriors.","Action, Adventure, History",Jet Li Tony Chiu-Wai Leung Maggie Cheung Ziyi Zhang
Hable con ella,7.9,2002,Two men share an odd friendship while they care for two women who are both in deep comas.,"Drama, Mystery, Romance",Rosario Flores Javier Cámara Darío Grandinetti Leonor Watling
No Man's Land,7.9,2001,"Bosnia and Herzegovina during 1993 at the time of the heaviest fighting between the two warring sides. Two soldiers from opposing sides in the conflict, Nino and Ciki, become trapped in no man's land, whilst a third soldier becomes a living booby trap.","Comedy, Drama, War",Branko Djuric Rene Bitorajac Filip Sovagovic Georges Siatidis
Cowboy Bebop: Tengoku no tobira,7.9,2001,"A terrorist explosion releases a deadly virus on the masses, and it's up the bounty-hunting Bebop crew to catch the cold-blooded culprit.","Animation, Action, Crime",Tensai Okamura Hiroyuki Okiura Yoshiyuki Takei Beau Billingslea
The Bourne Identity,7.9,2002,"A man is picked up by a fishing boat, bullet-riddled and suffering from amnesia, before racing to elude assassins and attempting to regain his memory.","Action, Mystery, Thriller",Franka Potente Matt Damon Chris Cooper Clive Owen
Nueve reinas,7.9,2000,"Two con artists try to swindle a stamp collector by selling him a sheet of counterfeit rare stamps (the ""nine queens"").","Crime, Drama, Thriller",Ricardo Darín Gastón Pauls Graciela Tenenbaum María Mercedes Villagra
Children of Men,7.9,2006,"In 2027, in a chaotic world in which women have become somehow infertile, a former activist agrees to help transport a miraculously pregnant woman to a sanctuary at sea.","Adventure, Drama, Sci-Fi",Julianne Moore Clive Owen Chiwetel Ejiofor Michael Caine
Almost Famous,7.9,2000,A high-school boy is given the chance to write a story for Rolling Stone Magazine about an up-and-coming rock band as he accompanies them on their concert tour.,"Adventure, Comedy, Drama",Billy Crudup Patrick Fugit Kate Hudson Frances McDormand
Mulholland Dr.,7.9,2001,"After a car wreck on the winding Mulholland Drive renders a woman amnesiac, she and a perky Hollywood-hopeful search for clues and answers across Los Angeles in a twisting venture beyond dreams and reality.","Drama, Mystery, Thriller",Naomi Watts Laura Harring Justin Theroux Jeanne Bates
Toy Story 2,7.9,1999,"When Woody is stolen by a toy collector, Buzz and his friends set out on a rescue mission to save Woody before he becomes a museum toy property with his roundup gang Jessie, Prospector, and Bullseye.","Animation, Adventure, Comedy",Ash Brannon Lee Unkrich Tom Hanks Tim Allen
Boogie Nights,7.9,1997,"Back when sex was safe, pleasure was a business and business was booming, an idealistic porn producer aspires to elevate his craft to an art when he discovers a hot young talent.",Drama,Mark Wahlberg Julianne Moore Burt Reynolds Luis Guzmán
Mimi wo sumaseba,7.9,1995,"A love story between a girl who loves reading books, and a boy who has previously checked out all of the library books she chooses.","Animation, Drama, Family",Yoko Honna Issey Takahashi Takashi Tachibana Shigeru Muroi
Once Were Warriors,7.9,1994,A family descended from Maori warriors is bedeviled by a violent father and the societal problems of being treated as outcasts.,"Crime, Drama",Rena Owen Temuera Morrison Mamaengaroa Kerr-Bell Julian Arahanga
True Romance,7.9,1993,"In Detroit, a lonely pop culture geek marries a call girl, steals cocaine from her pimp, and tries to sell it in Hollywood. Meanwhile, the owners of the cocaine, the Mob, track them down in an attempt to reclaim it.","Crime, Drama, Romance",Christian Slater Patricia Arquette Dennis Hopper Val Kilmer
Trois couleurs: Bleu,7.9,1993,A woman struggles to find a way to live her life after the death of her husband and child.,"Drama, Music, Mystery",Juliette Binoche Zbigniew Zamachowski Julie Delpy Benoît Régent
Jûbê ninpûchô,7.9,1993,A vagabond swordsman is aided by a beautiful ninja girl and a crafty spy in confronting a demonic clan of killers - with a ghost from his past as their leader - who are bent on overthrowing the Tokugawa Shogunate.,"Animation, Action, Adventure",Kôichi Yamadera Emi Shinohara Takeshi Aono Osamu Saka
Carlito's Way,7.9,1993,"A Puerto Rican former convict, just released from prison, pledges to stay away from drugs and violence despite the pressure around him and lead on to a better life outside of N.Y.C.","Crime, Drama, Thriller",Al Pacino Sean Penn Penelope Ann Miller John Leguizamo
Edward Scissorhands,7.9,1990,"An artificial man, who was incompletely constructed and has scissors for hands, leads a solitary life. Then one day, a suburban lady meets him and introduces him to her world.","Drama, Fantasy, Romance",Johnny Depp Winona Ryder Dianne Wiest Anthony Michael Hall
My Left Foot: The Story of Christy Brown,7.9,1989,"Christy Brown, born with cerebral palsy, learns to paint and write with his only controllable limb - his left foot.","Biography, Drama",Daniel Day-Lewis Brenda Fricker Alison Whelan Kirsten Sheridan
Crimes and Misdemeanors,7.9,1989,An ophthalmologist's mistress threatens to reveal their affair to his wife while a married documentary filmmaker is infatuated with another woman.,"Comedy, Drama",Martin Landau Woody Allen Bill Bernstein Claire Bloom
The Untouchables,7.9,1987,"During the era of Prohibition in the United States, Federal Agent Eliot Ness sets out to stop ruthless Chicago gangster Al Capone and, because of rampant corruption, assembles a small, hand-picked team to help him.","Crime, Drama, Thriller",Kevin Costner Sean Connery Robert De Niro Charles Martin Smith
Hannah and Her Sisters,7.9,1986,"Between two Thanksgivings two years apart, Hannah's husband falls in love with her sister Lee, while her hypochondriac ex-husband rekindles his relationship with her sister Holly.","Comedy, Drama",Mia Farrow Dianne Wiest Michael Caine Barbara Hershey
Brazil,7.9,1985,A bureaucrat in a dystopic society becomes an enemy of the state as he pursues the woman of his dreams.,"Drama, Sci-Fi",Jonathan Pryce Kim Greist Robert De Niro Katherine Helmond
This Is Spinal Tap,7.9,1984,"Spinal Tap, one of England's loudest bands, is chronicled by film director Marty DiBergi on what proves to be a fateful tour.","Comedy, Music",Rob Reiner Michael McKean Christopher Guest Kimberly Stringer
A Christmas Story,7.9,1983,"In the 1940s, a young boy named Ralphie attempts to convince his parents, his teacher and Santa that a Red Ryder BB gun really is the perfect Christmas gift.","Comedy, Family",Peter Billingsley Melinda Dillon Darren McGavin Scott Schwartz
The Blues Brothers,7.9,1980,"Jake Blues, just released from prison, puts together his old band to save the Catholic home where he and his brother Elwood were raised.","Action, Adventure, Comedy",John Belushi Dan Aykroyd Cab Calloway John Candy
Manhattan,7.9,1979,The life of a divorced television writer dating a teenage girl is further complicated when he falls in love with his best friend's mistress.,"Comedy, Drama, Romance",Woody Allen Diane Keaton Mariel Hemingway Michael Murphy
All That Jazz,7.9,1979,"Director/choreographer Bob Fosse tells his own life story as he details the sordid career of Joe Gideon, a womanizing, drug-using dancer.","Drama, Music, Musical",Roy Scheider Jessica Lange Ann Reinking Leland Palmer
Dawn of the Dead,7.9,1978,"Following an ever-growing epidemic of zombies that have risen from the dead, two Philadelphia S.W.A.T. team members, a traffic reporter, and his television executive girlfriend seek refuge in a secluded shopping mall.","Action, Adventure, Horror",David Emge Ken Foree Scott H. Reiniger Gaylen Ross
All the President's Men,7.9,1976,"""The Washington Post"" reporters Bob Woodward and Carl Bernstein uncover the details of the Watergate scandal that leads to President Richard Nixon's resignation.","Biography, Drama, History",Dustin Hoffman Robert Redford Jack Warden Martin Balsam
La montaña sagrada,7.9,1973,"In a corrupt, greed-fueled world, a powerful alchemist leads a messianic character and seven materialistic figures to the Holy Mountain, where they hope to achieve enlightenment.","Adventure, Drama, Fantasy",Alejandro Jodorowsky Horacio Salinas Zamira Saunders Juan Ferrara
Amarcord,7.9,1973,A series of comedic and nostalgic vignettes set in a 1930s Italian coastal town.,"Comedy, Drama, Family",Magali Noël Bruno Zanin Pupella Maggio Armando Brancia
Le charme discret de la bourgeoisie,7.9,1972,"A surreal, virtually plotless series of dreams centered around six middle-class people and their consistently interrupted attempts to have a meal together.",Comedy,Fernando Rey Delphine Seyrig Paul Frankeur Bulle Ogier
"Aguirre, der Zorn Gottes",7.9,1972,"In the 16th century, the ruthless and insane Don Lope de Aguirre leads a Spanish expedition in search of El Dorado.","Action, Adventure, Biography",Klaus Kinski Ruy Guerra Helena Rojo Del Negro
Harold and Maude,7.9,1971,"Young, rich, and obsessed with death, Harold finds himself changed forever when he meets lively septuagenarian Maude at a funeral.","Comedy, Drama, Romance",Ruth Gordon Bud Cort Vivian Pickles Cyril Cusack
Patton,7.9,1970,The World War II phase of the career of controversial American general George S. Patton.,"Biography, Drama, War",George C. Scott Karl Malden Stephen Young Michael Strong
The Wild Bunch,7.9,1969,"An aging group of outlaws look for one last big score as the ""traditional"" American West is disappearing around them.","Action, Adventure, Western",William Holden Ernest Borgnine Robert Ryan Edmond O'Brien
Night of the Living Dead,7.9,1968,A ragtag group of Pennsylvanians barricade themselves in an old farmhouse to remain safe from a horde of flesh-eating ghouls that are ravaging the East Coast of the United States.,"Horror, Thriller",Duane Jones Judith O'Dea Karl Hardman Marilyn Eastman
The Lion in Winter,7.9,1968,"1183 A.D.: King Henry II's three sons all want to inherit the throne, but he won't commit to a choice. They and his wife variously plot to force him.","Biography, Drama, History",Peter O'Toole Katharine Hepburn Anthony Hopkins John Castle
In the Heat of the Night,7.9,1967,A black police detective is asked to investigate a murder in a racially hostile southern town.,"Crime, Drama, Mystery",Sidney Poitier Rod Steiger Warren Oates Lee Grant
Charade,7.9,1963,Romance and suspense ensue in Paris as a woman is pursued by several men who want a fortune her murdered husband had stolen. Whom can she trust?,"Comedy, Mystery, Romance",Cary Grant Audrey Hepburn Walter Matthau James Coburn
The Manchurian Candidate,7.9,1962,A former prisoner of war is brainwashed as an unwitting assassin for an international Communist conspiracy.,"Drama, Thriller",Frank Sinatra Laurence Harvey Janet Leigh Angela Lansbury
Spartacus,7.9,1960,The slave Spartacus leads a violent revolt against the decadent Roman Republic.,"Adventure, Biography, Drama",Kirk Douglas Laurence Olivier Jean Simmons Charles Laughton
L'avventura,7.9,1960,"A woman disappears during a Mediterranean boating trip. During the search, her lover and her best friend become attracted to each other.","Drama, Mystery",Gabriele Ferzetti Monica Vitti Lea Massari Dominique Blanchar
Hiroshima mon amour,7.9,1959,A French actress filming an anti-war film in Hiroshima has an affair with a married Japanese architect as they share their differing perspectives on war.,"Drama, Romance",Emmanuelle Riva Eiji Okada Stella Dassas Pierre Barbaud
The Ten Commandments,7.9,1956,"Moses, an Egyptian Prince, learns of his true heritage as a Hebrew and his divine mission as the deliverer of his people.","Adventure, Drama",Charlton Heston Yul Brynner Anne Baxter Edward G. Robinson
The Searchers,7.9,1956,An American Civil War veteran embarks on a journey to rescue his niece from the Comanches.,"Adventure, Drama, Western",John Wayne Jeffrey Hunter Vera Miles Ward Bond
East of Eden,7.9,1955,"Two brothers struggle to maintain their strict, Bible-toting father's favor.",Drama,James Dean Raymond Massey Julie Harris Burl Ives
High Noon,7.9,1952,"A town Marshal, despite the disagreements of his newlywed bride and the townspeople around him, must face a gang of deadly killers alone at high noon when the gang leader, an outlaw he sent up years ago, arrives on the noon train.","Drama, Thriller, Western",Gary Cooper Grace Kelly Thomas Mitchell Lloyd Bridges
Strangers on a Train,7.9,1951,A psychopath forces a tennis star to comply with his theory that two strangers can get away with murder.,"Crime, Film-Noir, Thriller",Farley Granger Robert Walker Ruth Roman Leo G. Carroll
Harvey,7.9,1950,"Due to his insistence that he has an invisible six foot-tall rabbit for a best friend, a whimsical middle-aged man is thought by his family to be insane - but he may be wiser than anyone knows.","Comedy, Drama, Fantasy",James Stewart Wallace Ford William H. Lynn Victoria Horne
Miracle on 34th Street,7.9,1947,"When a nice old man who claims to be Santa Claus is institutionalized as insane, a young lawyer decides to defend him by arguing in court that he is the real thing.","Comedy, Drama, Family",Edmund Gwenn Maureen O'Hara John Payne Gene Lockhart
Notorious,7.9,1946,A woman is asked to spy on a group of Nazi friends in South America. How far will she have to go to ingratiate herself with them?,"Drama, Film-Noir, Romance",Cary Grant Ingrid Bergman Claude Rains Louis Calhern
The Big Sleep,7.9,1946,"Private detective Philip Marlowe is hired by a wealthy family. Before the complex case is over, he's seen murder, blackmail, and what might be love.","Crime, Film-Noir, Mystery",Humphrey Bogart Lauren Bacall John Ridgely Martha Vickers
The Lost Weekend,7.9,1945,The desperate life of a chronic alcoholic is followed through a four-day drinking bout.,"Drama, Film-Noir",Ray Milland Jane Wyman Phillip Terry Howard Da Silva
The Philadelphia Story,7.9,1940,"When a rich woman's ex-husband and a tabloid-type reporter turn up just before her planned remarriage, she begins to learn the truth about herself.","Comedy, Romance",Cary Grant Katharine Hepburn James Stewart Ruth Hussey
His Girl Friday,7.9,1940,A newspaper editor uses every trick in the book to keep his ace reporter ex-wife from remarrying.,"Comedy, Drama, Romance",Cary Grant Rosalind Russell Ralph Bellamy Gene Lockhart
The Adventures of Robin Hood,7.9,1938,"When Prince John and the Norman Lords begin oppressing the Saxon masses in King Richard's absence, a Saxon lord fights back as the outlaw leader of a rebel guerrilla army.","Action, Adventure, Romance",William Keighley Errol Flynn Olivia de Havilland Basil Rathbone
A Night at the Opera,7.9,1935,A sly business manager and two wacky friends of two opera singers help them achieve success while humiliating their stuffy and snobbish enemies.,"Comedy, Music, Musical",Edmund Goulding Groucho Marx Chico Marx Harpo Marx
King Kong,7.9,1933,A film crew goes to a tropical island for an exotic location shoot and discovers a colossal ape who takes a shine to their female blonde star. He is then captured and brought back to New York City for public exhibition.,"Adventure, Horror, Sci-Fi",Ernest B. Schoedsack Fay Wray Robert Armstrong Bruce Cabot
Freaks,7.9,1932,"A circus' beautiful trapeze artist agrees to marry the leader of side-show performers, but his deformed friends discover she is only marrying him for his inheritance.","Drama, Horror",Wallace Ford Leila Hyams Olga Baclanova Roscoe Ates
Nosferatu,7.9,1922,Vampire Count Orlok expresses interest in a new residence and real estate agent Hutter's wife.,"Fantasy, Horror",Max Schreck Alexander Granach Gustav von Wangenheim Greta Schröder
The Gentlemen,7.8,2019,"An American expat tries to sell off his highly profitable marijuana empire in London, triggering plots, schemes, bribery and blackmail in an attempt to steal his domain out from under him.","Action, Comedy, Crime",Matthew McConaughey Charlie Hunnam Michelle Dockery Jeremy Strong
Raazi,7.8,2018,A Kashmiri woman agrees to marry a Pakistani army officer in order to spy on Pakistan during the Indo-Pakistan War of 1971.,"Action, Drama, Thriller",Alia Bhatt Vicky Kaushal Rajit Kapoor Shishir Sharma
Sound of Metal,7.8,2019,A heavy-metal drummer's life is thrown into freefall when he begins to lose his hearing.,"Drama, Music",Riz Ahmed Olivia Cooke Paul Raci Lauren Ridloff
Forushande,7.8,2016,"While both participating in a production of ""Death of a Salesman,"" a teacher's wife is assaulted in her new home, which leaves him determined to find the perpetrator over his wife's traumatized objections.",Drama,Shahab Hosseini Taraneh Alidoosti Babak Karimi Mina Sadati
Dunkirk,7.8,2017,"Allied soldiers from Belgium, the British Empire, and France are surrounded by the German Army and evacuated during a fierce battle in World War II.","Action, Drama, History",Fionn Whitehead Barry Keoghan Mark Rylance Tom Hardy
Perfetti sconosciuti,7.8,2016,"Seven long-time friends get together for a dinner. When they decide to share with each other the content of every text message, email and phone call they receive, many secrets start to unveil and the equilibrium trembles.","Comedy, Drama",Giuseppe Battiston Anna Foglietta Marco Giallini Edoardo Leo
Hidden Figures,7.8,2016,The story of a team of female African-American mathematicians who served a vital role in NASA during the early years of the U.S. space program.,"Biography, Drama, History",Taraji P. Henson Octavia Spencer Janelle Monáe Kevin Costner
Paddington 2,7.8,2017,"Paddington (Ben Whishaw), now happily settled with the Brown family and a popular member of the local community, picks up a series of odd jobs to buy the perfect present for his Aunt Lucy's (Imelda Staunton's) 100th birthday, only for the gift to be stolen.","Adventure, Comedy, Family",Ben Whishaw Hugh Grant Hugh Bonneville Sally Hawkins
Udta Punjab,7.8,2016,A story that revolves around drug abuse in the affluent north Indian State of Punjab and how the youth there have succumbed to it en-masse resulting in a socio-economic decline.,"Action, Crime, Drama",Shahid Kapoor Alia Bhatt Kareena Kapoor Diljit Dosanjh
Kubo and the Two Strings,7.8,2016,A young boy named Kubo must locate a magical suit of armour worn by his late father in order to defeat a vengeful spirit from the past.,"Animation, Action, Adventure",Charlize Theron Art Parkinson Matthew McConaughey Ralph Fiennes
M.S. Dhoni: The Untold Story,7.8,2016,The untold story of Mahendra Singh Dhoni's journey from ticket collector to trophy collector - the world-cup-winning captain of the Indian Cricket Team.,"Biography, Drama, Sport",Sushant Singh Rajput Kiara Advani Anupam Kher Disha Patani
