Series_Title,IMDB_Rating,Released_Year,Overview,Genre,Actors
City Lights,8.5,1931,"With the aid of a wealthy erratic tippler, a dewy-eyed tramp who has fallen in love with a sightless flower girl accumulates money to be able to help her medically.","Comedy, Drama, Romance",Charles Chaplin Virginia Cherrill Florence Lee Harry Myers
Capharnaüm,8.4,2018,"While serving a five-year sentence for a violent crime, a 12-year-old boy sues his parents for neglect.",Drama,Zain Al Rafeea Yordanos Shiferaw Boluwatife Treasure Bankole Kawsar Al Haddad
Ayla: The Daughter of War,8.4,2017,"In 1950, amid-st the ravages of the Korean War, Sergeant Süleyman stumbles upon a half-frozen little girl, with no parents and no help in sight. Frantic, scared and on the verge of death, ...                See full summary »","Biography, Drama, History",Erdem Can Çetin Tekindor Ismail Hacioglu Kyung-jin Lee
Vikram Vedha,8.4,2017,"Vikram, a no-nonsense police officer, accompanied by Simon, his partner, is on the hunt to capture Vedha, a smuggler and a murderer. Vedha tries to change Vikram's life, which leads to a conflict.","Action, Crime, Drama",Pushkar Madhavan Vijay Sethupathi Shraddha Srinath
Kimi no na wa.,8.4,2016,"Two strangers find themselves linked in a bizarre way. When a connection forms, will distance be the only thing to keep them apart?","Animation, Drama, Fantasy",Ryûnosuke Kamiki Mone Kamishiraishi Ryô Narita Aoi Yûki
Dangal,8.4,2016,Former wrestler Mahavir Singh Phogat and his two wrestler daughters struggle towards glory at the Commonwealth Games in the face of societal oppression.,"Action, Biography, Drama",Aamir Khan Sakshi Tanwar Fatima Sana Shaikh Sanya Malhotra
Spider-Man: Into the Spider-Verse,8.4,2018,"Teen Miles Morales becomes the Spider-Man of his universe, and must join with five spider-powered individuals from other dimensions to stop a threat for all realities.","Animation, Action, Adventure",Peter Ramsey Rodney Rothman Shameik Moore Jake Johnson
Avengers: Endgame,8.4,2019,"After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe.","Action, Adventure, Drama",Joe Russo Robert Downey Jr. Chris Evans Mark Ruffalo
Avengers: Infinity War,8.4,2018,The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.,"Action, Adventure, Sci-Fi",Joe Russo Robert Downey Jr. Chris Hemsworth Mark Ruffalo
Coco,8.4,2017,"Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer.","Animation, Adventure, Family",Adrian Molina Anthony Gonzalez Gael García Bernal Benjamin Bratt
Django Unchained,8.4,2012,"With the help of a German bounty hunter, a freed slave sets out to rescue his wife from a brutal Mississippi plantation owner.","Drama, Western",Jamie Foxx Christoph Waltz Leonardo DiCaprio Kerry Washington
The Dark Knight Rises,8.4,2012,"Eight years after the Joker's reign of anarchy, Batman, with the help of the enigmatic Catwoman, is forced from his exile to save Gotham City from the brutal guerrilla terrorist Bane.","Action, Adventure",Christian Bale Tom Hardy Anne Hathaway Gary Oldman
3 Idiots,8.4,2009,"Two friends are searching for their long lost companion. They revisit their college days and recall the memories of their friend who inspired them to think differently, even as the rest of the world called them ""idiots"".","Comedy, Drama",Aamir Khan Madhavan Mona Singh Sharman Joshi
Taare Zameen Par,8.4,2007,"An eight-year-old boy is thought to be a lazy trouble-maker, until the new art teacher has the patience and compassion to discover the real problem behind his struggles in school.","Drama, Family",Amole Gupte Darsheel Safary Aamir Khan Tisca Chopra
WALL·E,8.4,2008,"In the distant future, a small waste-collecting robot inadvertently embarks on a space journey that will ultimately decide the fate of mankind.","Animation, Adventure, Family",Ben Burtt Elissa Knight Jeff Garlin Fred Willard
The Lives of Others,8.4,2006,"In 1984 East Berlin, an agent of the secret police, conducting surveillance on a writer and his lover, finds himself becoming increasingly absorbed by their lives.","Drama, Mystery, Thriller",Ulrich Mühe Martina Gedeck Sebastian Koch Ulrich Tukur
Oldeuboi,8.4,2003,"After being kidnapped and imprisoned for fifteen years, Oh Dae-Su is released, only to find that he must find his captor in five days.","Action, Drama, Mystery",Choi Min-sik Yoo Ji-Tae Kang Hye-jeong Kim Byeong-Ok
Memento,8.4,2000,A man with short-term memory loss attempts to track down his wife's murderer.,"Mystery, Thriller",Guy Pearce Carrie-Anne Moss Joe Pantoliano Mark Boone Junior
Mononoke-hime,8.4,1997,"On a journey to find the cure for a Tatarigami's curse, Ashitaka finds himself in the middle of a war between the forest gods and Tatara, a mining colony. In this quest he also meets San, the Mononoke Hime.","Animation, Action, Adventure",Yôji Matsuda Yuriko Ishida Yûko Tanaka Billy Crudup
Once Upon a Time in America,8.4,1984,"A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan over thirty years later, where he once again must confront the ghosts and regrets of his old life.","Crime, Drama",Robert De Niro James Woods Elizabeth McGovern Treat Williams
Raiders of the Lost Ark,8.4,1981,"In 1936, archaeologist and adventurer Indiana Jones is hired by the U.S. government to find the Ark of the Covenant before Adolf Hitler's Nazis can obtain its awesome powers.","Action, Adventure",Harrison Ford Karen Allen Paul Freeman John Rhys-Davies
The Shining,8.4,1980,"A family heads to an isolated hotel for the winter where a sinister presence influences the father into violence, while his psychic son sees horrific forebodings from both past and future.","Drama, Horror",Jack Nicholson Shelley Duvall Danny Lloyd Scatman Crothers
Apocalypse Now,8.4,1979,A U.S. Army officer serving in Vietnam is tasked with assassinating a renegade Special Forces Colonel who sees himself as a god.,"Drama, Mystery, War",Martin Sheen Marlon Brando Robert Duvall Frederic Forrest
Alien,8.4,1979,"After a space merchant vessel receives an unknown transmission as a distress call, one of the crew is attacked by a mysterious life form and they soon realize that its life cycle has merely begun.","Horror, Sci-Fi",Sigourney Weaver Tom Skerritt John Hurt Veronica Cartwright
Anand,8.4,1971,"The story of a terminally ill man who wishes to live life to the fullest before the inevitable occurs, as told by his best friend.","Drama, Musical",Rajesh Khanna Amitabh Bachchan Sumita Sanyal Ramesh Deo
Tengoku to jigoku,8.4,1963,An executive of a shoe company becomes a victim of extortion when his chauffeur's son is kidnapped and held for ransom.,"Crime, Drama, Mystery",Toshirô Mifune Yutaka Sada Tatsuya Nakadai Kyôko Kagawa
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,8.4,1964,An insane general triggers a path to nuclear holocaust that a War Room full of politicians and generals frantically tries to stop.,Comedy,Peter Sellers George C. Scott Sterling Hayden Keenan Wynn
Witness for the Prosecution,8.4,1957,A veteran British barrister must defend his client in a murder trial that has surprise after surprise.,"Crime, Drama, Mystery",Tyrone Power Marlene Dietrich Charles Laughton Elsa Lanchester
Paths of Glory,8.4,1957,"After refusing to attack an enemy position, a general accuses the soldiers of cowardice and their commanding officer must defend them.","Drama, War",Kirk Douglas Ralph Meeker Adolphe Menjou George Macready
